water2	water2	water2	
Force	Distance	Time	
g	mm	sec	

0.0820828	0.539	1.08	
0.0568266	0.542	1.085	
0.0526172	0.544	1.09	
0.0526172	0.547	1.095	
0.0399891	0.549	1.1	
0.0568266	0.552	1.105	
0.0294656	0.554	1.11	
0.0589313	0.557	1.115	
0.0757688	0.559	1.12	
0.0778734	0.562	1.125	
0.105234	0.564	1.13	
0.164166	0.567	1.135	
0.172584	0.569	1.14	
0.17048	0.572	1.145	
0.143119	0.574	1.15	
0.124177	0.577	1.155	
0.0778734	0.579	1.16	
0.0273609	0.582	1.165	
-0.0231516	0.584	1.17	
-0.0357797	0.587	1.175	
-0.0526172	0.589	1.18	
-0.0105234	0.592	1.185	
0.0420938	0.594	1.19	
0.0947109	0.597	1.195	
0.1347	0.599	1.2	
0.145223	0.602	1.205	
0.185213	0.604	1.21	
0.197841	0.607	1.215	
0.168375	0.609	1.22	
0.151538	0.612	1.225	
0.124177	0.614	1.23	
0.126281	0.617	1.235	
0.0862922	0.619	1.24	
0.0526172	0.622	1.245	
0.0547219	0.624	1.25	
0.0420938	0.627	1.255	
0.00420938	0.629	1.26	
0.00210469	0.632	1.265	
0.0210469	0.634	1.27	
0.0589313	0.637	1.275	
0.0736641	0.639	1.28	
0.0820828	0.642	1.285	
0.157852	0.644	1.29	
0.16627	0.647	1.295	
0.143119	0.649	1.3	
0.141014	0.652	1.305	
0.138909	0.654	1.31	
0.126281	0.657	1.315	
0.0694547	0.659	1.32	
0.0568266	0.662	1.325	
0.0631406	0.664	1.33	
0.0610359	0.667	1.335	
0.0357797	0.669	1.34	
0.0568266	0.672	1.345	
0.0862922	0.674	1.35	
0.109444	0.677	1.355	
0.113653	0.679	1.36	
0.105234	0.682	1.365	
0.130491	0.684	1.37	
0.101025	0.687	1.375	
0.06735	0.689	1.38	
0.0589313	0.692	1.385	
0.0273609	0.694	1.39	
0.0484078	0.697	1.395	
0.0610359	0.699	1.4	
0.0694547	0.702	1.405	
0.101025	0.704	1.41	
0.122072	0.707	1.415	
0.113653	0.709	1.42	
0.115758	0.712	1.425	
0.109444	0.714	1.43	
0.0905016	0.717	1.435	
0.0926063	0.719	1.44	
0.0757688	0.722	1.445	
0.0757688	0.724	1.45	
0.0841875	0.727	1.455	
0.0736641	0.729	1.46	
0.0757688	0.732	1.465	
0.0463031	0.734	1.47	
0.0231516	0.737	1.475	
0.0399891	0.739	1.48	
0.0252563	0.742	1.485	
0.0526172	0.744	1.49	
0.0820828	0.747	1.495	
0.107339	0.749	1.5	
0.151538	0.752	1.505	
0.143119	0.754	1.51	
0.174689	0.757	1.515	
0.199945	0.759	1.52	
0.136805	0.762	1.525	
0.0947109	0.764	1.53	
0.0652453	0.767	1.535	
0.0420938	0.769	1.54	
0.0315703	0.772	1.545	
0.00210469	0.774	1.55	
0.00631406	0.777	1.555	
0.0315703	0.779	1.56	
0.0631406	0.782	1.565	
0.0926063	0.784	1.57	
0.107339	0.787	1.575	
0.132595	0.789	1.58	
0.153642	0.792	1.585	
0.132595	0.794	1.59	
0.145223	0.797	1.595	
0.119967	0.799	1.6	
0.0926063	0.802	1.605	
0.101025	0.804	1.61	
0.0883969	0.807	1.615	
0.0905016	0.809	1.62	
0.0883969	0.812	1.625	
0.0652453	0.814	1.63	
0.0547219	0.817	1.635	
0.0526172	0.819	1.64	
0.0484078	0.822	1.645	
0.0420938	0.824	1.65	
0.0610359	0.827	1.655	
0.0820828	0.829	1.66	
0.122072	0.832	1.665	
0.126281	0.834	1.67	
0.145223	0.837	1.675	
