frame_stiffness_no_sample1	frame_stiffness_no_sample1	frame_stiffness_no_sample1	
Force	Distance	Time	
g	mm	sec	

-0.00842006	0.01	1.07	
0.0168401	0.01	1.075	
0.0842006	0.01	1.08	
-0.0378903	0.01	1.085	
-0.122091	0.01	1.09	
0.0589404	0.01	1.095	
0.309437	0.01	1.1	
0.252602	0.011	1.105	
0.109461	0.011	1.11	
0.206291	0.011	1.115	
0.252602	0.011	1.12	
0.0294702	0.011	1.125	
-0.199976	0.011	1.13	
-0.0884106	0.011	1.135	
0.0989357	0.011	1.14	
0.0357853	0.011	1.145	
-0.107356	0.011	1.15	
-0.0105251	0.011	1.155	
0.153666	0.011	1.16	
0.0610454	0.011	1.165	
-0.124196	0.011	1.17	
-0.0905157	0.011	1.175	
0.0757805	0.011	1.18	
0.0799906	0.011	1.185	
0.0421003	0.011	1.19	
0.216817	0.011	1.195	
0.393638	0.011	1.2	
0.305227	0.012	1.205	
0.119986	0.012	1.21	
0.119986	0.012	1.215	
0.138931	0.012	1.22	
-0.0715705	0.012	1.225	
-0.265232	0.012	1.23	
-0.122091	0.012	1.235	
0.124196	0.012	1.24	
0.136826	0.012	1.245	
0.0568354	0.012	1.25	
0.132616	0.012	1.255	
0.239972	0.012	1.26	
0.0715705	0.012	1.265	
-0.147351	0.012	1.27	
-0.117881	0.012	1.275	
0.0252602	0.012	1.28	
-0.00210502	0.012	1.285	
-0.0315752	0.012	1.29	
0.128406	0.012	1.295	
0.311542	0.012	1.3	
0.244182	0.013	1.305	
0.103146	0.013	1.31	
0.143141	0.013	1.315	
0.202081	0.013	1.32	
0.0189451	0.013	1.325	
-0.181031	0.013	1.33	
-0.0842006	0.013	1.335	
0.0947257	0.013	1.34	
0.0736755	0.013	1.345	
-0.0147351	0.013	1.35	
0.0547304	0.013	1.355	
0.195766	0.013	1.36	
0.0884106	0.013	1.365	
-0.0315752	0.013	1.37	
0.0547304	0.013	1.375	
0.147351	0.013	1.38	
0.0399953	0.013	1.385	
-0.0568354	0.013	1.39	
0.0484154	0.013	1.395	
0.187346	0.013	1.4	
0.103146	0.014	1.405	
-0.00631505	0.014	1.41	
0.113671	0.014	1.415	
0.248392	0.014	1.42	
0.115776	0.014	1.425	
-0.0526254	0.014	1.43	
0	0.014	1.435	
0.119986	0.014	1.44	
0.0505204	0.014	1.445	
-0.0399953	0.014	1.45	
0.0484154	0.014	1.455	
0.136826	0.014	1.46	
0.0736755	0.014	1.465	
0	0.014	1.47	
0.113671	0.014	1.475	
0.191556	0.014	1.48	
0.0610454	0.014	1.485	
-0.0505204	0.014	1.49	
0.0189451	0.014	1.495	
0.138931	0.014	1.5	
0.0673605	0.015	1.505	
0.0168401	0.015	1.51	
0.183136	0.015	1.515	
0.256812	0.015	1.52	
0.0547304	0.015	1.525	
-0.0842006	0.015	1.53	
0.00210502	0.015	1.535	
0.0673605	0.015	1.54	
-0.0715705	0.015	1.545	
-0.151561	0.015	1.55	
0.0526254	0.015	1.555	
0.239972	0.015	1.56	
0.164191	0.015	1.565	
0.128406	0.015	1.57	
0.269442	0.015	1.575	
0.305227	0.015	1.58	
0.0694655	0.015	1.585	
-0.113671	0.015	1.59	
-0.0168401	0.015	1.595	
0.124196	0.015	1.6	
0.0547304	0.016	1.605	
0.00842006	0.016	1.61	
0.195766	0.016	1.615	
0.294702	0.016	1.62	
0.0905157	0.016	1.625	
-0.103146	0.016	1.63	
-0.0715705	0.016	1.635	
-0.0526254	0.016	1.64	
-0.246287	0.016	1.645	
-0.290492	0.016	1.65	
-0.00210502	0.016	1.655	
0.307332	0.016	1.66	
0.330487	0.016	1.665	
0.269442	0.016	1.67	
0.357853	0.016	1.675	
0.324172	0.016	1.68	
0.0126301	0.016	1.685	
-0.235762	0.016	1.69	
-0.101041	0.016	1.695	
0.113671	0.016	1.7	
0.0926207	0.017	1.705	
0.0778856	0.017	1.71	
0.267337	0.017	1.715	
0.317857	0.017	1.72	
0.00631505	0.017	1.725	
-0.273652	0.017	1.73	
-0.223132	0.017	1.735	
-0.115776	0.017	1.74	
-0.178926	0.017	1.745	
-0.166296	0.017	1.75	
0.138931	0.017	1.755	
0.395743	0.017	1.76	
0.296807	0.017	1.765	
0.122091	0.017	1.77	
0.225237	0.017	1.775	
0.332592	0.017	1.78	
0.143141	0.017	1.785	
-0.0252602	0.017	1.79	
0.0926207	0.017	1.795	
0.239972	0.017	1.8	
0.0778856	0.018	1.805	
-0.119986	0.018	1.81	
0.0336802	0.018	1.815	
0.178926	0.018	1.82	
