gelC_I_3mm11	gelC_I_3mm11	gelC_I_3mm11	
Force	Distance	Time	
g	mm	sec	

6.18284	1.597	159.785	
6.23964	1.597	159.79	
6.40163	1.597	159.795	
6.37428	1.597	159.8	
6.18284	1.598	159.805	
6.17653	1.598	159.81	
6.34062	1.598	159.815	
6.30906	1.598	159.82	
6.18284	1.598	159.825	
6.25016	1.598	159.83	
6.46263	1.598	159.835	
6.46053	1.598	159.84	
6.24385	1.598	159.845	
6.19125	1.598	159.85	
6.30065	1.598	159.855	
6.25647	1.598	159.86	
6.10711	1.598	159.865	
6.16391	1.598	159.87	
6.37638	1.598	159.875	
6.41425	1.598	159.88	
6.25437	1.598	159.885	
6.23333	1.598	159.89	
6.30275	1.598	159.895	
6.25647	1.598	159.9	
6.07765	1.599	159.905	
6.13235	1.599	159.91	
6.35534	1.599	159.915	
6.43318	1.599	159.92	
6.29854	1.599	159.925	
6.28171	1.599	159.93	
6.41004	1.599	159.935	
6.36586	1.599	159.94	
6.14076	1.599	159.945	
6.09028	1.599	159.95	
6.24174	1.599	159.955	
6.28382	1.599	159.96	
6.18705	1.599	159.965	
6.22702	1.599	159.97	
6.37849	1.599	159.975	
6.39532	1.599	159.98	
6.25016	1.599	159.985	
6.20598	1.599	159.99	
6.31537	1.599	159.995	
6.2754	1.599	160	
6.16811	1.6	160.005	
6.19336	1.6	160.01	
6.389	1.6	160.015	
6.43318	1.6	160.02	
6.26278	1.6	160.025	
6.24805	1.6	160.03	
6.35955	1.6	160.035	
6.34903	1.6	160.04	
6.12814	1.6	160.045	
6.09238	1.6	160.05	
6.24174	1.6	160.055	
6.2712	1.6	160.06	
6.18494	1.6	160.065	
6.2186	1.6	160.07	
6.41425	1.6	160.075	
6.45212	1.6	160.08	
6.29013	1.6	160.085	
6.18284	1.6	160.09	
6.2733	1.6	160.095	
6.26909	1.6	160.1	
6.15128	1.601	160.105	
6.16811	1.601	160.11	
6.35955	1.601	160.115	
6.42687	1.601	160.12	
6.27961	1.601	160.125	
6.2165	1.601	160.13	
6.30065	1.601	160.135	
6.30275	1.601	160.14	
6.15549	1.601	160.145	
6.15128	1.601	160.15	
6.33851	1.601	160.155	
6.39321	1.601	160.16	
6.31537	1.601	160.165	
6.28803	1.601	160.17	
6.37849	1.601	160.175	
6.36797	1.601	160.18	
6.22912	1.601	160.185	
6.15549	1.601	160.19	
6.24174	1.601	160.195	
6.2712	1.601	160.2	
6.19967	1.602	160.205	
6.23754	1.602	160.21	
6.39111	1.602	160.215	
6.389	1.602	160.22	
6.22491	1.602	160.225	
6.17863	1.602	160.23	
6.29854	1.602	160.235	
6.3322	1.602	160.24	
6.22491	1.602	160.245	
6.24805	1.602	160.25	
6.3869	1.602	160.255	
6.39952	1.602	160.26	
6.24595	1.602	160.265	
6.19336	1.602	160.27	
6.27961	1.602	160.275	
6.30486	1.602	160.28	
6.18915	1.602	160.285	
6.19967	1.602	160.29	
6.31748	1.602	160.295	
6.34483	1.602	160.3	
6.25857	1.603	160.305	
6.27961	1.603	160.31	
6.42056	1.603	160.315	
6.41635	1.603	160.32	
6.2733	1.603	160.325	
6.23964	1.603	160.33	
6.37638	1.603	160.335	
6.36166	1.603	160.34	
6.23964	1.603	160.345	
6.20177	1.603	160.35	
6.33431	1.603	160.355	
6.34903	1.603	160.36	
6.23122	1.603	160.365	
6.19967	1.603	160.37	
6.29854	1.603	160.375	
6.31537	1.603	160.38	
6.22912	1.603	160.385	
6.25016	1.603	160.39	
6.35324	1.603	160.395	
6.37849	1.603	160.4	
6.29644	1.604	160.405	
6.31327	1.604	160.41	
6.43108	1.604	160.415	
6.40794	1.604	160.42	
6.25016	1.604	160.425	
6.21229	1.604	160.43	
6.31958	1.604	160.435	
6.30065	1.604	160.44	
6.20177	1.604	160.445	
6.19125	1.604	160.45	
6.33641	1.604	160.455	
6.34693	1.604	160.46	
6.25437	1.604	160.465	
6.25226	1.604	160.47	
6.37007	1.604	160.475	
6.34693	1.604	160.48	
6.23333	1.604	160.485	
6.22071	1.604	160.49	
6.31117	1.604	160.495	
6.29434	1.604	160.5	
6.24595	1.605	160.505	
6.28803	1.605	160.51	
6.45632	1.605	160.515	
6.45843	1.605	160.52	
6.34483	1.605	160.525	
6.30696	1.605	160.53	
6.35745	1.605	160.535	
6.28382	1.605	160.54	
6.14708	1.605	160.545	
6.19336	1.605	160.55	
6.30906	1.605	160.555	
6.33431	1.605	160.56	
6.27751	1.605	160.565	
6.3301	1.605	160.57	
6.389	1.605	160.575	
6.31748	1.605	160.58	
6.17232	1.605	160.585	
6.14076	1.605	160.59	
6.23122	1.605	160.595	
6.26909	1.605	160.6	
6.25647	1.606	160.605	
6.34903	1.606	160.61	
6.49209	1.606	160.615	
6.47105	1.606	160.62	
6.28803	1.606	160.625	
6.22912	1.606	160.63	
6.28382	1.606	160.635	
6.25016	1.606	160.64	
6.15128	1.606	160.645	
6.22281	1.606	160.65	
6.36797	1.606	160.655	
6.3848	1.606	160.66	
6.31748	1.606	160.665	
6.30906	1.606	160.67	
6.39532	1.606	160.675	
6.328	1.606	160.68	
6.20598	1.606	160.685	
6.25857	1.606	160.69	
6.37217	1.606	160.695	
6.389	1.606	160.7	
6.29854	1.607	160.705	
6.36166	1.607	160.71	
6.46684	1.607	160.715	
6.40373	1.607	160.72	
6.18494	1.607	160.725	
6.17022	1.607	160.73	
6.28382	1.607	160.735	
6.2754	1.607	160.74	
6.19336	1.607	160.745	
6.25226	1.607	160.75	
6.39952	1.607	160.755	
6.389	1.607	160.76	
6.27961	1.607	160.765	
6.2754	1.607	160.77	
6.33431	1.607	160.775	
6.27961	1.607	160.78	
6.18284	1.607	160.785	
6.23964	1.607	160.79	
6.39321	1.607	160.795	
6.38059	1.607	160.8	
6.30906	1.608	160.805	
6.34272	1.608	160.81	
6.43108	1.608	160.815	
6.35534	1.608	160.82	
6.15128	1.608	160.825	
6.15549	1.608	160.83	
6.35114	1.608	160.835	
6.35534	1.608	160.84	
6.26278	1.608	160.845	
6.29013	1.608	160.85	
6.41846	1.608	160.855	
6.36376	1.608	160.86	
6.20598	1.608	160.865	
6.1618	1.608	160.87	
6.28803	1.608	160.875	
6.29013	1.608	160.88	
6.23964	1.608	160.885	
6.31117	1.608	160.89	
6.46263	1.608	160.895	
6.42266	1.608	160.9	
6.26909	1.609	160.905	
6.26068	1.609	160.91	
6.38059	1.609	160.915	
6.32589	1.609	160.92	
6.16811	1.609	160.925	
6.24595	1.609	160.93	
6.45212	1.609	160.935	
6.47315	1.609	160.94	
6.28171	1.609	160.945	
6.25437	1.609	160.95	
6.33851	1.609	160.955	
6.25647	1.609	160.96	
6.11131	1.609	160.965	
6.14708	1.609	160.97	
6.36376	1.609	160.975	
6.42687	1.609	160.98	
6.34272	1.609	160.985	
6.35324	1.609	160.99	
6.45001	1.609	160.995	
6.37638	1.609	161	
6.22071	1.61	161.005	
6.20808	1.61	161.01	
6.37638	1.61	161.015	
6.37217	1.61	161.02	
6.25016	1.61	161.025	
6.2712	1.61	161.03	
6.4416	1.61	161.035	
6.4458	1.61	161.04	
6.25647	1.61	161.045	
6.20388	1.61	161.05	
6.31327	1.61	161.055	
6.28803	1.61	161.06	
6.15549	1.61	161.065	
6.18705	1.61	161.07	
6.39111	1.61	161.075	
6.43529	1.61	161.08	
6.32168	1.61	161.085	
6.31748	1.61	161.09	
6.42477	1.61	161.095	
6.38059	1.61	161.1	
6.21019	1.611	161.105	
6.19967	1.611	161.11	
6.36376	1.611	161.115	
6.39952	1.611	161.12	
6.29854	1.611	161.125	
6.30696	1.611	161.13	
6.44791	1.611	161.135	
6.42056	1.611	161.14	
6.2186	1.611	161.145	
6.15549	1.611	161.15	
6.2712	1.611	161.155	
6.32168	1.611	161.16	
6.25016	1.611	161.165	
6.31117	1.611	161.17	
6.47736	1.611	161.175	
6.48367	1.611	161.18	
6.34062	1.611	161.185	
6.27961	1.611	161.19	
6.33431	1.611	161.195	
6.31748	1.611	161.2	
6.2144	1.612	161.205	
6.24595	1.612	161.21	
6.43739	1.612	161.215	
6.46895	1.612	161.22	
6.30275	1.612	161.225	
6.25647	1.612	161.23	
6.33431	1.612	161.235	
6.29644	1.612	161.24	
6.16391	1.612	161.245	
6.16391	1.612	161.25	
6.33851	1.612	161.255	
6.41214	1.612	161.26	
6.34272	1.612	161.265	
6.37217	1.612	161.27	
6.46474	1.612	161.275	
6.42056	1.612	161.28	
6.23543	1.612	161.285	
6.19336	1.612	161.29	
6.29223	1.612	161.295	
6.30275	1.612	161.3	
6.23964	1.613	161.305	
6.26909	1.613	161.31	
6.43108	1.613	161.315	
6.43108	1.613	161.32	
6.26699	1.613	161.325	
6.23333	1.613	161.33	
6.34693	1.613	161.335	
6.37007	1.613	161.34	
6.26488	1.613	161.345	
6.24595	1.613	161.35	
6.39321	1.613	161.355	
6.43739	1.613	161.36	
6.34272	1.613	161.365	
6.30906	1.613	161.37	
6.36376	1.613	161.375	
6.35955	1.613	161.38	
6.23122	1.613	161.385	
6.21229	1.613	161.39	
6.30696	1.613	161.395	
6.34903	1.613	161.4	
6.29013	1.614	161.405	
6.32589	1.614	161.41	
6.45001	1.614	161.415	
6.46053	1.614	161.42	
6.30486	1.614	161.425	
6.25857	1.614	161.43	
6.36376	1.614	161.435	
6.3848	1.614	161.44	
6.30065	1.614	161.445	
6.30906	1.614	161.45	
6.41214	1.614	161.455	
6.40583	1.614	161.46	
6.31958	1.614	161.465	
6.25226	1.614	161.47	
6.328	1.614	161.475	
6.30275	1.614	161.48	
6.22702	1.614	161.485	
6.25016	1.614	161.49	
6.38059	1.614	161.495	
6.40163	1.614	161.5	
6.328	1.615	161.505	
6.33431	1.615	161.51	
6.4437	1.615	161.515	
6.41425	1.615	161.52	
6.26068	1.615	161.525	
6.24595	1.615	161.53	
6.389	1.615	161.535	
6.42266	1.615	161.54	
6.32379	1.615	161.545	
6.31327	1.615	161.55	
6.39111	1.615	161.555	
6.35955	1.615	161.56	
6.22281	1.615	161.565	
6.22702	1.615	161.57	
6.33851	1.615	161.575	
6.39111	1.615	161.58	
6.33851	1.615	161.585	
6.35955	1.615	161.59	
6.43529	1.615	161.595	
6.39742	1.615	161.6	
6.2712	1.616	161.605	
6.26909	1.616	161.61	
6.39111	1.616	161.615	
6.43318	1.616	161.62	
6.3322	1.616	161.625	
6.34062	1.616	161.63	
6.46474	1.616	161.635	
6.43318	1.616	161.64	
6.2754	1.616	161.645	
6.22491	1.616	161.65	
6.34483	1.616	161.655	
6.35955	1.616	161.66	
6.30696	1.616	161.665	
6.34693	1.616	161.67	
6.46474	1.616	161.675	
6.45212	1.616	161.68	
6.32379	1.616	161.685	
6.27961	1.616	161.69	
6.32379	1.616	161.695	
6.29013	1.616	161.7	
6.22071	1.617	161.705	
6.28592	1.617	161.71	
6.4437	1.617	161.715	
6.45843	1.617	161.72	
6.33851	1.617	161.725	
6.33431	1.617	161.73	
6.42477	1.617	161.735	
6.3869	1.617	161.74	
6.28171	1.617	161.745	
6.30906	1.617	161.75	
6.43108	1.617	161.755	
6.41425	1.617	161.76	
6.33431	1.617	161.765	
6.32589	1.617	161.77	
6.3869	1.617	161.775	
6.33431	1.617	161.78	
6.20177	1.617	161.785	
6.23543	1.617	161.79	
6.37007	1.617	161.795	
6.36586	1.617	161.8	
6.30275	1.618	161.805	
6.37428	1.618	161.81	
6.51733	1.618	161.815	
6.45632	1.618	161.82	
6.28592	1.618	161.825	
6.27961	1.618	161.83	
6.39952	1.618	161.835	
6.39532	1.618	161.84	
6.2754	1.618	161.845	
6.30275	1.618	161.85	
6.43739	1.618	161.855	
6.43108	1.618	161.86	
6.29013	1.618	161.865	
6.27961	1.618	161.87	
6.36586	1.618	161.875	
6.328	1.618	161.88	
6.2144	1.618	161.885	
6.26488	1.618	161.89	
6.39532	1.618	161.895	
6.41214	1.618	161.9	
6.36166	1.619	161.905	
6.40583	1.619	161.91	
6.52154	1.619	161.915	
6.46053	1.619	161.92	
6.28382	1.619	161.925	
6.26068	1.619	161.93	
6.34903	1.619	161.935	
6.32589	1.619	161.94	
6.25016	1.619	161.945	
6.32379	1.619	161.95	
6.45843	1.619	161.955	
6.43318	1.619	161.96	
6.29223	1.619	161.965	
6.27961	1.619	161.97	
6.35324	1.619	161.975	
6.31117	1.619	161.98	
6.19125	1.619	161.985	
6.24805	1.619	161.99	
6.39952	1.619	161.995	
6.39532	1.619	162	
6.3301	1.62	162.005	
6.35745	1.62	162.01	
6.48157	1.62	162.015	
6.41846	1.62	162.02	
6.24805	1.62	162.025	
6.26068	1.62	162.03	
6.40794	1.62	162.035	
6.41214	1.62	162.04	
6.30065	1.62	162.045	
6.3322	1.62	162.05	
6.4458	1.62	162.055	
6.40373	1.62	162.06	
6.25016	1.62	162.065	
6.24174	1.62	162.07	
6.36166	1.62	162.075	
6.36166	1.62	162.08	
6.25016	1.62	162.085	
6.31327	1.62	162.09	
6.4437	1.62	162.095	
6.45632	1.62	162.1	
6.328	1.621	162.105	
6.328	1.621	162.11	
6.46053	1.621	162.115	
6.42687	1.621	162.12	
6.26909	1.621	162.125	
6.27751	1.621	162.13	
6.41214	1.621	162.135	
6.43949	1.621	162.14	
6.31958	1.621	162.145	
6.328	1.621	162.15	
6.42897	1.621	162.155	
6.3869	1.621	162.16	
6.23333	1.621	162.165	
6.23964	1.621	162.17	
6.36166	1.621	162.175	
6.3869	1.621	162.18	
6.29644	1.621	162.185	
6.34693	1.621	162.19	
6.46053	1.621	162.195	
6.43529	1.621	162.2	
6.30275	1.622	162.205	
6.31327	1.622	162.21	
6.47315	1.622	162.215	
6.47736	1.622	162.22	
6.34483	1.622	162.225	
6.35745	1.622	162.23	
6.53416	1.622	162.235	
6.48998	1.622	162.24	
6.30275	1.622	162.245	
6.25857	1.622	162.25	
6.34693	1.622	162.255	
6.32379	1.622	162.26	
6.20598	1.622	162.265	
6.26278	1.622	162.27	
6.43529	1.622	162.275	
6.45212	1.622	162.28	
6.35745	1.622	162.285	
6.34693	1.622	162.29	
6.43318	1.622	162.295	
6.38269	1.622	162.3	
6.22912	1.623	162.305	
6.26699	1.623	162.31	
6.48578	1.623	162.315	
6.52785	1.623	162.32	
6.3848	1.623	162.325	
6.36797	1.623	162.33	
6.4984	1.623	162.335	
6.43318	1.623	162.34	
6.22491	1.623	162.345	
6.19125	1.623	162.35	
6.36166	1.623	162.355	
6.41004	1.623	162.36	
6.30486	1.623	162.365	
6.328	1.623	162.37	
6.46895	1.623	162.375	
6.46474	1.623	162.38	
6.27961	1.623	162.385	
6.25016	1.623	162.39	
6.37007	1.623	162.395	
6.40163	1.623	162.4	
6.30696	1.624	162.405	
6.37428	1.624	162.41	
6.5573	1.624	162.415	
6.57624	1.624	162.42	
6.39111	1.624	162.425	
6.34062	1.624	162.43	
6.42266	1.624	162.435	
6.39742	1.624	162.44	
6.24805	1.624	162.445	
6.25226	1.624	162.45	
6.41846	1.624	162.455	
6.48367	1.624	162.46	
6.35745	1.624	162.465	
6.33851	1.624	162.47	
6.41846	1.624	162.475	
6.37217	1.624	162.48	
6.22702	1.624	162.485	
6.23964	1.624	162.49	
6.39742	1.624	162.495	
6.44791	1.624	162.5	
6.39742	1.625	162.505	
6.45001	1.625	162.51	
6.57413	1.625	162.515	
6.54047	1.625	162.52	
6.3301	1.625	162.525	
6.27961	1.625	162.53	
6.34903	1.625	162.535	
6.34483	1.625	162.54	
6.24174	1.625	162.545	
6.28592	1.625	162.55	
6.45212	1.625	162.555	
6.4437	1.625	162.56	
6.31537	1.625	162.565	
6.30696	1.625	162.57	
6.38059	1.625	162.575	
6.34903	1.625	162.58	
6.24805	1.625	162.585	
6.29223	1.625	162.59	
6.43949	1.625	162.595	
6.47315	1.625	162.6	
6.41004	1.626	162.605	
6.41004	1.626	162.61	
6.52154	1.626	162.615	
6.4437	1.626	162.62	
6.26278	1.626	162.625	
6.2165	1.626	162.63	
6.34693	1.626	162.635	
6.35534	1.626	162.64	
6.27961	1.626	162.645	
6.31748	1.626	162.65	
6.43739	1.626	162.655	
6.42266	1.626	162.66	
6.28803	1.626	162.665	
6.28382	1.626	162.67	
6.3869	1.626	162.675	
6.42056	1.626	162.68	
6.37217	1.626	162.685	
6.42687	1.626	162.69	
6.49629	1.626	162.695	
6.47315	1.626	162.7	
6.3301	1.627	162.705	
6.33641	1.627	162.71	
6.43108	1.627	162.715	
6.39321	1.627	162.72	
6.2712	1.627	162.725	
6.33431	1.627	162.73	
6.47315	1.627	162.735	
6.43529	1.627	162.74	
6.30275	1.627	162.745	
6.28803	1.627	162.75	
6.39321	1.627	162.755	
6.37217	1.627	162.76	
6.28803	1.627	162.765	
6.34272	1.627	162.77	
6.46053	1.627	162.775	
6.47526	1.627	162.78	
6.36797	1.627	162.785	
6.37638	1.627	162.79	
6.45422	1.627	162.795	
6.40583	1.627	162.8	
6.28171	1.628	162.805	
6.33431	1.628	162.81	
6.49629	1.628	162.815	
6.46474	1.628	162.82	
6.33851	1.628	162.825	
6.35955	1.628	162.83	
6.48788	1.628	162.835	
6.4458	1.628	162.84	
6.27751	1.628	162.845	
6.25437	1.628	162.85	
6.35114	1.628	162.855	
6.36166	1.628	162.86	
6.30906	1.628	162.865	
6.36166	1.628	162.87	
6.53206	1.628	162.875	
6.51102	1.628	162.88	
6.37638	1.628	162.885	
6.34903	1.628	162.89	
6.3848	1.628	162.895	
6.31537	1.628	162.9	
6.21229	1.629	162.905	
6.30065	1.629	162.91	
6.48367	1.629	162.915	
6.52154	1.629	162.92	
6.389	1.629	162.925	
6.39742	1.629	162.93	
6.5026	1.629	162.935	
6.41635	1.629	162.94	
6.22702	1.629	162.945	
6.23122	1.629	162.95	
6.39532	1.629	162.955	
6.42477	1.629	162.96	
6.35534	1.629	162.965	
6.39952	1.629	162.97	
6.54047	1.629	162.975	
6.49629	1.629	162.98	
6.34693	1.629	162.985	
6.29434	1.629	162.99	
6.36586	1.629	162.995	
6.34272	1.629	163	
6.2712	1.63	163.005	
6.34903	1.63	163.01	
6.56572	1.63	163.015	
6.57413	1.63	163.02	
6.39321	1.63	163.025	
6.35114	1.63	163.03	
6.43529	1.63	163.035	
6.37638	1.63	163.04	
6.24174	1.63	163.045	
6.26278	1.63	163.05	
6.45001	1.63	163.055	
6.47736	1.63	163.06	
6.38269	1.63	163.065	
6.37217	1.63	163.07	
6.46895	1.63	163.075	
6.41846	1.63	163.08	
6.26909	1.63	163.085	
6.28592	1.63	163.09	
6.43318	1.63	163.095	
6.46474	1.63	163.1	
6.3848	1.631	163.105	
6.42687	1.631	163.11	
6.57413	1.631	163.115	
6.53206	1.631	163.12	
6.3322	1.631	163.125	
6.27961	1.631	163.13	
6.39742	1.631	163.135	
6.389	1.631	163.14	
6.26699	1.631	163.145	
6.30065	1.631	163.15	
6.47105	1.631	163.155	
6.5026	1.631	163.16	
6.3848	1.631	163.165	
6.34272	1.631	163.17	
6.43529	1.631	163.175	
6.42477	1.631	163.18	
6.29644	1.631	163.185	
6.3322	1.631	163.19	
6.46895	1.631	163.195	
6.5005	1.631	163.2	
6.42477	1.632	163.205	
6.43949	1.632	163.21	
6.52785	1.632	163.215	
6.46053	1.632	163.22	
6.26068	1.632	163.225	
6.25016	1.632	163.23	
6.38269	1.632	163.235	
6.40583	1.632	163.24	
6.33431	1.632	163.245	
6.39111	1.632	163.25	
6.52995	1.632	163.255	
6.51312	1.632	163.26	
6.36376	1.632	163.265	
6.35534	1.632	163.27	
6.43108	1.632	163.275	
6.40373	1.632	163.28	
6.31958	1.632	163.285	
6.35745	1.632	163.29	
6.50471	1.632	163.295	
6.51943	1.632	163.3	
6.40794	1.633	163.305	
6.37428	1.633	163.31	
6.46474	1.633	163.315	
6.3848	1.633	163.32	
6.25437	1.633	163.325	
6.29013	1.633	163.33	
6.45212	1.633	163.335	
6.5005	1.633	163.34	
6.42266	1.633	163.345	
6.41635	1.633	163.35	
6.48578	1.633	163.355	
6.42266	1.633	163.36	
6.29644	1.633	163.365	
6.28803	1.633	163.37	
6.42897	1.633	163.375	
6.47736	1.633	163.38	
6.42266	1.633	163.385	
6.4458	1.633	163.39	
6.5005	1.633	163.395	
6.46263	1.633	163.4	
6.33641	1.634	163.405	
6.33851	1.634	163.41	
6.45212	1.634	163.415	
6.46263	1.634	163.42	
6.35534	1.634	163.425	
6.37638	1.634	163.43	
6.51523	1.634	163.435	
6.49209	1.634	163.44	
6.36166	1.634	163.445	
6.33641	1.634	163.45	
6.41214	1.634	163.455	
6.42056	1.634	163.46	
6.3322	1.634	163.465	
6.37217	1.634	163.47	
6.47105	1.634	163.475	
6.50471	1.634	163.48	
6.41214	1.634	163.485	
6.39532	1.634	163.49	
6.45001	1.634	163.495	
6.41635	1.634	163.5	
6.32589	1.635	163.505	
6.34483	1.635	163.51	
6.49419	1.635	163.515	
6.51523	1.635	163.52	
6.39111	1.635	163.525	
6.37217	1.635	163.53	
6.47736	1.635	163.535	
6.45843	1.635	163.54	
6.328	1.635	163.545	
6.28382	1.635	163.55	
6.40373	1.635	163.555	
6.42266	1.635	163.56	
6.36797	1.635	163.565	
6.40373	1.635	163.57	
6.52575	1.635	163.575	
6.50892	1.635	163.58	
6.38269	1.635	163.585	
6.37428	1.635	163.59	
6.4416	1.635	163.595	
6.41214	1.635	163.6	
6.34062	1.636	163.605	
6.3869	1.636	163.61	
6.53626	1.636	163.615	
6.54468	1.636	163.62	
6.40794	1.636	163.625	
6.37849	1.636	163.63	
6.46474	1.636	163.635	
6.43529	1.636	163.64	
6.28382	1.636	163.645	
6.30275	1.636	163.65	
6.45001	1.636	163.655	
6.45843	1.636	163.66	
6.3869	1.636	163.665	
6.39321	1.636	163.67	
6.47946	1.636	163.675	
6.4458	1.636	163.68	
6.31537	1.636	163.685	
6.32168	1.636	163.69	
6.43949	1.636	163.695	
6.45632	1.636	163.7	
6.42056	1.637	163.705	
6.4437	1.637	163.71	
6.55941	1.637	163.715	
6.48578	1.637	163.72	
6.31327	1.637	163.725	
6.27961	1.637	163.73	
6.40163	1.637	163.735	
6.41004	1.637	163.74	
6.34272	1.637	163.745	
6.39532	1.637	163.75	
6.51312	1.637	163.755	
6.48578	1.637	163.76	
6.34693	1.637	163.765	
6.35114	1.637	163.77	
6.43949	1.637	163.775	
6.42266	1.637	163.78	
6.35324	1.637	163.785	
6.40163	1.637	163.79	
6.52154	1.637	163.795	
6.46895	1.637	163.8	
6.3848	1.638	163.805	
6.39742	1.638	163.81	
6.48998	1.638	163.815	
6.46053	1.638	163.82	
6.32379	1.638	163.825	
6.36376	1.638	163.83	
6.4984	1.638	163.835	
6.48367	1.638	163.84	
6.38269	1.638	163.845	
6.37638	1.638	163.85	
6.47105	1.638	163.855	
6.4437	1.638	163.86	
6.34483	1.638	163.865	
6.35324	1.638	163.87	
6.46684	1.638	163.875	
6.45843	1.638	163.88	
6.37849	1.638	163.885	
6.40794	1.638	163.89	
6.49419	1.638	163.895	
6.45843	1.638	163.9	
6.34693	1.639	163.905	
6.37849	1.639	163.91	
6.49629	1.639	163.915	
6.46263	1.639	163.92	
6.35534	1.639	163.925	
6.40794	1.639	163.93	
6.54468	1.639	163.935	
6.51312	1.639	163.94	
6.39111	1.639	163.945	
6.40583	1.639	163.95	
6.48578	1.639	163.955	
6.46895	1.639	163.96	
6.36166	1.639	163.965	
6.38059	1.639	163.97	
6.49209	1.639	163.975	
6.48367	1.639	163.98	
6.38269	1.639	163.985	
6.41004	1.639	163.99	
6.51102	1.639	163.995	
6.47736	1.639	164	
6.3848	1.64	164.005	
6.39321	1.64	164.01	
6.53206	1.64	164.015	
6.5005	1.64	164.02	
6.37007	1.64	164.025	
6.3848	1.64	164.03	
6.51312	1.64	164.035	
6.51102	1.64	164.04	
6.37007	1.64	164.045	
6.36797	1.64	164.05	
6.44791	1.64	164.055	
6.42897	1.64	164.06	
6.34272	1.64	164.065	
6.38059	1.64	164.07	
6.51102	1.64	164.075	
6.4984	1.64	164.08	
6.39532	1.64	164.085	
6.389	1.64	164.09	
6.45001	1.64	164.095	
6.42266	1.64	164.1	
6.3301	1.641	164.105	
6.38269	1.641	164.11	
6.56572	1.641	164.115	
6.57834	1.641	164.12	
6.42266	1.641	164.125	
6.41425	1.641	164.13	
6.52995	1.641	164.135	
6.48998	1.641	164.14	
6.32379	1.641	164.145	
6.33431	1.641	164.15	
6.45422	1.641	164.155	
6.48788	1.641	164.16	
6.40794	1.641	164.165	
6.41846	1.641	164.17	
6.53837	1.641	164.175	
6.52995	1.641	164.18	
6.38059	1.641	164.185	
6.37638	1.641	164.19	
6.46474	1.641	164.195	
6.45212	1.641	164.2	
6.36376	1.642	164.205	
6.42477	1.642	164.21	
6.62462	1.642	164.215	
6.60358	1.642	164.22	
6.41004	1.642	164.225	
6.39952	1.642	164.23	
6.50681	1.642	164.235	
6.47105	1.642	164.24	
6.31327	1.642	164.245	
6.328	1.642	164.25	
6.49629	1.642	164.255	
6.52575	1.642	164.26	
6.39111	1.642	164.265	
6.389	1.642	164.27	
6.50471	1.642	164.275	
6.48157	1.642	164.28	
6.36166	1.642	164.285	
6.34903	1.642	164.29	
6.48998	1.642	164.295	
6.50892	1.642	164.3	
6.43739	1.643	164.305	
6.48788	1.643	164.31	
6.64566	1.643	164.315	
6.62041	1.643	164.32	
6.40794	1.643	164.325	
6.35955	1.643	164.33	
6.47526	1.643	164.335	
6.4437	1.643	164.34	
6.26278	1.643	164.345	
6.29644	1.643	164.35	
6.50471	1.643	164.355	
6.54889	1.643	164.36	
6.42266	1.643	164.365	
6.39321	1.643	164.37	
6.49629	1.643	164.375	
6.46474	1.643	164.38	
6.30906	1.643	164.385	
6.31748	1.643	164.39	
6.48998	1.643	164.395	
6.52575	1.643	164.4	
6.45212	1.644	164.405	
6.47736	1.644	164.41	
6.58675	1.644	164.415	
6.54468	1.644	164.42	
6.33851	1.644	164.425	
6.32379	1.644	164.43	
6.45632	1.644	164.435	
6.49629	1.644	164.44	
6.39111	1.644	164.445	
6.39111	1.644	164.45	
6.4984	1.644	164.455	
6.4984	1.644	164.46	
6.37428	1.644	164.465	
6.35114	1.644	164.47	
6.47736	1.644	164.475	
6.50681	1.644	164.48	
6.42477	1.644	164.485	
6.43318	1.644	164.49	
6.53416	1.644	164.495	
6.52785	1.644	164.5	
6.41846	1.645	164.505	
6.41004	1.645	164.51	
6.51312	1.645	164.515	
6.52364	1.645	164.52	
6.41425	1.645	164.525	
6.41214	1.645	164.53	
6.55099	1.645	164.535	
6.5552	1.645	164.54	
6.42266	1.645	164.545	
6.39952	1.645	164.55	
6.45843	1.645	164.555	
6.45843	1.645	164.56	
6.34483	1.645	164.565	
6.35745	1.645	164.57	
6.47946	1.645	164.575	
6.49419	1.645	164.58	
6.41846	1.645	164.585	
6.41004	1.645	164.59	
6.48578	1.645	164.595	
6.46474	1.645	164.6	
6.36586	1.646	164.605	
6.39532	1.646	164.61	
6.52364	1.646	164.615	
6.54047	1.646	164.62	
6.42477	1.646	164.625	
6.43318	1.646	164.63	
6.54047	1.646	164.635	
6.53626	1.646	164.64	
6.40373	1.646	164.645	
6.39532	1.646	164.65	
6.45843	1.646	164.655	
6.45632	1.646	164.66	
6.37428	1.646	164.665	
6.39532	1.646	164.67	
6.4984	1.646	164.675	
6.49629	1.646	164.68	
6.41004	1.646	164.685	
6.42056	1.646	164.69	
6.49419	1.646	164.695	
6.46053	1.646	164.7	
6.39111	1.647	164.705	
6.41425	1.647	164.71	
6.54258	1.647	164.715	
6.53416	1.647	164.72	
6.42477	1.647	164.725	
6.4458	1.647	164.73	
6.54468	1.647	164.735	
6.5005	1.647	164.74	
6.34272	1.647	164.745	
6.32589	1.647	164.75	
6.46053	1.647	164.755	
6.48157	1.647	164.76	
6.41214	1.647	164.765	
6.4458	1.647	164.77	
