gelC_I_3mm11	gelC_I_3mm11	gelC_I_3mm11	
Force	Distance	Time	
g	mm	sec	

-0.132534	0.01	1.05	
0.0315558	0.01	1.055	
0.111497	0.01	1.06	
-0.0483856	0.01	1.065	
-0.132534	0.01	1.07	
0.037867	0.01	1.075	
0.143053	0.01	1.08	
0.00210372	0.01	1.085	
-0.0946675	0.01	1.09	
0.0420744	0.01	1.095	
0.109394	0.01	1.1	
-0.0694228	0.011	1.105	
-0.153572	0.011	1.11	
0.037867	0.011	1.115	
0.143053	0.011	1.12	
-0.0589042	0.011	1.125	
-0.140949	0.011	1.13	
0.0589042	0.011	1.135	
0.153572	0.011	1.14	
-0.0483856	0.011	1.145	
-0.153572	0.011	1.15	
0.0441782	0.011	1.155	
0.159883	0.011	1.16	
-0.0147261	0.011	1.165	
-0.147261	0.011	1.17	
0.0189335	0.011	1.175	
0.109394	0.011	1.18	
-0.0799414	0.011	1.185	
-0.199854	0.011	1.19	
-0.0147261	0.011	1.195	
0.117808	0.011	1.2	
-0.0168298	0.012	1.205	
-0.0736303	0.012	1.21	
0.119912	0.012	1.215	
0.21458	0.012	1.22	
-0.0105186	0.012	1.225	
-0.149364	0.012	1.23	
0.0105186	0.012	1.235	
0.145157	0.012	1.24	
-0.0273484	0.012	1.245	
-0.136742	0.012	1.25	
0.0673191	0.012	1.255	
0.183024	0.012	1.26	
-0.0315558	0.012	1.265	
-0.174609	0.012	1.27	
-0.0315558	0.012	1.275	
0.122016	0.012	1.28	
-0.0610079	0.012	1.285	
-0.189335	0.012	1.29	
0.00841489	0.012	1.295	
0.178816	0.012	1.3	
0.0273484	0.013	1.305	
-0.122016	0.013	1.31	
0.0462819	0.013	1.315	
0.16409	0.013	1.32	
-0.0525931	0.013	1.325	
-0.227202	0.013	1.33	
-0.0252447	0.013	1.335	
0.149364	0.013	1.34	
0	0.013	1.345	
-0.132534	0.013	1.35	
0.0631117	0.013	1.355	
0.195646	0.013	1.36	
0	0.013	1.365	
-0.189335	0.013	1.37	
-0.0336596	0.013	1.375	
0.117808	0.013	1.38	
-0.0273484	0.013	1.385	
-0.157779	0.013	1.39	
0.0483856	0.013	1.395	
0.210372	0.013	1.4	
0.0315558	0.014	1.405	
-0.126223	0.014	1.41	
0.0589042	0.014	1.415	
0.191439	0.014	1.42	
-0.0420744	0.014	1.425	
-0.227202	0.014	1.43	
-0.00631117	0.014	1.435	
0.195646	0.014	1.44	
0.0399707	0.014	1.445	
-0.115705	0.014	1.45	
0.0483856	0.014	1.455	
0.21458	0.014	1.46	
0.00841489	0.014	1.465	
-0.212476	0.014	1.47	
-0.0441782	0.014	1.475	
0.151468	0.014	1.48	
-0.00210372	0.014	1.485	
-0.155675	0.014	1.49	
0.0252447	0.014	1.495	
0.218787	0.014	1.5	
0.0462819	0.015	1.505	
-0.143053	0.015	1.51	
0.0504893	0.015	1.515	
0.241928	0.015	1.52	
0.0315558	0.015	1.525	
-0.155675	0.015	1.53	
0.0357633	0.015	1.535	
0.216683	0.015	1.54	
0.0210372	0.015	1.545	
-0.225098	0.015	1.55	
-0.0883563	0.015	1.555	
0.113601	0.015	1.56	
-0.0252447	0.015	1.565	
-0.183024	0.015	1.57	
0	0.015	1.575	
0.250343	0.015	1.58	
0.0946675	0.015	1.585	
-0.149364	0.015	1.59	
-0.0631117	0.015	1.595	
0.138846	0.015	1.6	
0.0210372	0.016	1.605	
-0.161987	0.016	1.61	
0.0231409	0.016	1.615	
0.252447	0.016	1.62	
0.105186	0.016	1.625	
-0.130431	0.016	1.63	
0.00420744	0.016	1.635	
0.168298	0.016	1.64	
-0.00631117	0.016	1.645	
-0.216683	0.016	1.65	
-0.105186	0.016	1.655	
0.115705	0.016	1.66	
0.0483856	0.016	1.665	
-0.12412	0.016	1.67	
0.0252447	0.016	1.675	
0.21458	0.016	1.68	
0.0841489	0.016	1.685	
-0.136742	0.016	1.69	
-0.0441782	0.016	1.695	
0.145157	0.016	1.7	
0.0315558	0.017	1.705	
-0.136742	0.017	1.71	
0.0126223	0.017	1.715	
0.193542	0.017	1.72	
0.0210372	0.017	1.725	
-0.168298	0.017	1.73	
-0.0525931	0.017	1.735	
0.122016	0.017	1.74	
0.00210372	0.017	1.745	
-0.185128	0.017	1.75	
-0.0483856	0.017	1.755	
0.16409	0.017	1.76	
0.0715266	0.017	1.765	
-0.109394	0.017	1.77	
-0.0189335	0.017	1.775	
0.145157	0.017	1.78	
0.0168298	0.017	1.785	
-0.159883	0.017	1.79	
-0.0652154	0.017	1.795	
