gel_from_2_251	gel_from_2_251	gel_from_2_251	
Force	Distance	Time	
g	mm	sec	

0.0210372	0.011	1.11	
0.222995	0.011	1.115	
0.351322	0.011	1.12	
0.0946675	0.011	1.125	
-0.0925638	0.011	1.13	
0.0652154	0.011	1.135	
0.231409	0.011	1.14	
0.09046	0.011	1.145	
-0.0399707	0.011	1.15	
0.178816	0.011	1.155	
0.363944	0.011	1.16	
0.18092	0.011	1.165	
0	0.011	1.17	
0.140949	0.011	1.175	
0.252447	0.011	1.18	
0.0946675	0.011	1.185	
-0.0252447	0.011	1.19	
0.140949	0.011	1.195	
0.28821	0.011	1.2	
0.126223	0.012	1.205	
0.00420744	0.012	1.21	
0.176713	0.012	1.215	
0.290314	0.012	1.22	
0.0694228	0.012	1.225	
-0.0862526	0.012	1.23	
0.126223	0.012	1.235	
0.300832	0.012	1.24	
0.113601	0.012	1.245	
-0.0420744	0.012	1.25	
0.134638	0.012	1.255	
0.311351	0.012	1.26	
0.145157	0.012	1.265	
-0.0189335	0.012	1.27	
0.143053	0.012	1.275	
0.321869	0.012	1.28	
0.149364	0.012	1.285	
-0.0336596	0.012	1.29	
0.117808	0.012	1.295	
0.267173	0.012	1.3	
0.119912	0.013	1.305	
-0.0336596	0.013	1.31	
0.159883	0.013	1.315	
0.336596	0.013	1.32	
0.147261	0.013	1.325	
-0.0315558	0.013	1.33	
0.126223	0.013	1.335	
0.317662	0.013	1.34	
0.136742	0.013	1.345	
-0.0546968	0.013	1.35	
0.115705	0.013	1.355	
0.302936	0.013	1.36	
0.168298	0.013	1.365	
-0.0168298	0.013	1.37	
0.10729	0.013	1.375	
0.28821	0.013	1.38	
0.157779	0.013	1.385	
-0.0483856	0.013	1.39	
0.075734	0.013	1.395	
0.273484	0.013	1.4	
0.174609	0.014	1.405	
0.0126223	0.014	1.41	
0.151468	0.014	1.415	
0.326077	0.014	1.42	
0.191439	0.014	1.425	
0	0.014	1.43	
0.134638	0.014	1.435	
0.292417	0.014	1.44	
0.143053	0.014	1.445	
-0.0589042	0.014	1.45	
0.0736303	0.014	1.455	
0.260862	0.014	1.46	
0.166194	0.014	1.465	
0.0189335	0.014	1.47	
0.183024	0.014	1.475	
0.34501	0.014	1.48	
0.208268	0.014	1.485	
-0.0126223	0.014	1.49	
0.0883563	0.014	1.495	
0.265069	0.014	1.5	
0.170401	0.015	1.505	
0.0483856	0.015	1.51	
0.195646	0.015	1.515	
0.342907	0.015	1.52	
0.176713	0.015	1.525	
-0.0231409	0.015	1.53	
0.0778377	0.015	1.535	
0.244032	0.015	1.54	
0.119912	0.015	1.545	
-0.0189335	0.015	1.55	
0.122016	0.015	1.555	
0.30504	0.015	1.56	
0.195646	0.015	1.565	
0.0336596	0.015	1.57	
0.12412	0.015	1.575	
0.265069	0.015	1.58	
0.151468	0.015	1.585	
0	0.015	1.59	
0.115705	0.015	1.595	
0.296625	0.015	1.6	
0.216683	0.016	1.605	
0.0946675	0.016	1.61	
0.204061	0.016	1.615	
0.313455	0.016	1.62	
0.10729	0.016	1.625	
-0.0589042	0.016	1.63	
0.0946675	0.016	1.635	
0.30504	0.016	1.64	
0.220891	0.016	1.645	
0.0967712	0.016	1.65	
0.210372	0.016	1.655	
0.328181	0.016	1.66	
0.145157	0.016	1.665	
-0.0589042	0.016	1.67	
0.0357633	0.016	1.675	
0.208268	0.016	1.68	
0.119912	0.016	1.685	
0.0168298	0.016	1.69	
0.174609	0.016	1.695	
0.317662	0.016	1.7	
0.157779	0.017	1.705	
-0.0105186	0.017	1.71	
0.12412	0.017	1.715	
0.28821	0.017	1.72	
0.134638	0.017	1.725	
-0.00631117	0.017	1.73	
0.161987	0.017	1.735	
0.34501	0.017	1.74	
0.191439	0.017	1.745	
0.00841489	0.017	1.75	
0.113601	0.017	1.755	
0.227202	0.017	1.76	
0.0841489	0.017	1.765	
-0.0568005	0.017	1.77	
0.0715266	0.017	1.775	
0.233513	0.017	1.78	
0.143053	0.017	1.785	
0.00420744	0.017	1.79	
0.140949	0.017	1.795	
0.298729	0.017	1.8	
0.18092	0.018	1.805	
0.037867	0.018	1.81	
0.19775	0.018	1.815	
0.34501	0.018	1.82	
0.176713	0.018	1.825	
0.0483856	0.018	1.83	
0.225098	0.018	1.835	
0.349218	0.018	1.84	
0.16409	0.018	1.845	
-0.0420744	0.018	1.85	
0.0841489	0.018	1.855	
0.21458	0.018	1.86	
0.0820452	0.018	1.865	
-0.0315558	0.018	1.87	
0.145157	0.018	1.875	
0.326077	0.018	1.88	
0.193542	0.018	1.885	
0.0231409	0.018	1.89	
0.140949	0.018	1.895	
0.252447	0.018	1.9	
0.0988749	0.019	1.905	
-0.0189335	0.019	1.91	
0.191439	0.019	1.915	
0.370255	0.019	1.92	
0.229306	0.019	1.925	
0.0610079	0.019	1.93	
0.183024	0.019	1.935	
0.30504	0.019	1.94	
0.0841489	0.019	1.945	
-0.10729	0.019	1.95	
-0.00631117	0.019	1.955	
0.195646	0.019	1.96	
0.128327	0.019	1.965	
0.0483856	0.019	1.97	
0.183024	0.019	1.975	
0.323973	0.019	1.98	
0.193542	0.019	1.985	
-0.00841489	0.019	1.99	
0.0610079	0.019	1.995	
0.18092	0.019	2	
0.0820452	0.02	2.005	
0.0336596	0.02	2.01	
0.227202	0.02	2.015	
0.393396	0.02	2.02	
0.229306	0.02	2.025	
0.0336596	0.02	2.03	
0.109394	0.02	2.035	
0.204061	0.02	2.04	
0.0462819	0.02	2.045	
-0.0673191	0.02	2.05	
0.105186	0.02	2.055	
0.277691	0.02	2.06	
0.153572	0.02	2.065	
0.0294521	0.02	2.07	
0.153572	0.02	2.075	
0.25455	0.02	2.08	
0.105186	0.02	2.085	
-0.00841489	0.02	2.09	
0.149364	0.02	2.095	
0.30504	0.02	2.1	
0.187231	0.021	2.105	
0.0673191	0.021	2.11	
0.206165	0.021	2.115	
0.332388	0.021	2.12	
0.119912	0.021	2.125	
-0.0336596	0.021	2.13	
0.136742	0.021	2.135	
0.290314	0.021	2.14	
0.140949	0.021	2.145	
-0.0168298	0.021	2.15	
0.130431	0.021	2.155	
0.267173	0.021	2.16	
0.103082	0.021	2.165	
-0.0631117	0.021	2.17	
0.115705	0.021	2.175	
0.277691	0.021	2.18	
0.143053	0.021	2.185	
-0.0126223	0.021	2.19	
0.128327	0.021	2.195	
0.311351	0.021	2.2	
0.183024	0.022	2.205	
0.037867	0.022	2.21	
0.220891	0.022	2.215	
0.36184	0.022	2.22	
0.172505	0.022	2.225	
-0.00631117	0.022	2.23	
0.12412	0.022	2.235	
0.256654	0.022	2.24	
0.0925638	0.022	2.245	
-0.0841489	0.022	2.25	
0.0778377	0.022	2.255	
0.262965	0.022	2.26	
0.155675	0.022	2.265	
-0.00631117	0.022	2.27	
0.134638	0.022	2.275	
0.311351	0.022	2.28	
0.140949	0.022	2.285	
-0.00841489	0.022	2.29	
0.117808	0.022	2.295	
0.277691	0.022	2.3	
0.191439	0.023	2.305	
0.0462819	0.023	2.31	
0.220891	0.023	2.315	
0.34501	0.023	2.32	
0.132534	0.023	2.325	
-0.0631117	0.023	2.33	
0.0883563	0.023	2.335	
0.256654	0.023	2.34	
0.105186	0.023	2.345	
-0.0715266	0.023	2.35	
0.0799414	0.023	2.355	
0.27138	0.023	2.36	
0.138846	0.023	2.365	
-0.0252447	0.023	2.37	
0.115705	0.023	2.375	
0.292417	0.023	2.38	
0.172505	0.023	2.385	
-0.0252447	0.023	2.39	
0.0946675	0.023	2.395	
0.25455	0.023	2.4	
0.128327	0.024	2.405	
-0.00631117	0.024	2.41	
0.191439	0.024	2.415	
0.382877	0.024	2.42	
0.191439	0.024	2.425	
-0.00631117	0.024	2.43	
0.126223	0.024	2.435	
0.262965	0.024	2.44	
0.103082	0.024	2.445	
-0.0799414	0.024	2.45	
0.0883563	0.024	2.455	
0.30504	0.024	2.46	
0.183024	0.024	2.465	
0.00841489	0.024	2.47	
0.132534	0.024	2.475	
0.28821	0.024	2.48	
0.134638	0.024	2.485	
-0.0504893	0.024	2.49	
0.0820452	0.024	2.495	
0.281899	0.024	2.5	
0.170401	0.025	2.505	
0.00841489	0.025	2.51	
0.187231	0.025	2.515	
0.340803	0.025	2.52	
0.18092	0.025	2.525	
-0.0126223	0.025	2.53	
0.128327	0.025	2.535	
0.296625	0.025	2.54	
0.143053	0.025	2.545	
-0.0462819	0.025	2.55	
0.0652154	0.025	2.555	
0.218787	0.025	2.56	
0.0967712	0.025	2.565	
-0.0715266	0.025	2.57	
0.119912	0.025	2.575	
0.323973	0.025	2.58	
0.212476	0.025	2.585	
0.0399707	0.025	2.59	
0.128327	0.025	2.595	
0.290314	0.025	2.6	
0.149364	0.026	2.605	
-0.0252447	0.026	2.61	
0.128327	0.026	2.615	
0.340803	0.026	2.62	
0.199854	0.026	2.625	
0.0399707	0.026	2.63	
0.134638	0.026	2.635	
0.281899	0.026	2.64	
0.117808	0.026	2.645	
-0.075734	0.026	2.65	
0.0315558	0.026	2.655	
0.220891	0.026	2.66	
0.140949	0.026	2.665	
0.0231409	0.026	2.67	
0.143053	0.026	2.675	
0.328181	0.026	2.68	
0.195646	0.026	2.685	
-0.0105186	0.026	2.69	
0.0568005	0.026	2.695	
0.227202	0.026	2.7	
0.157779	0.027	2.705	
0.0483856	0.027	2.71	
0.21458	0.027	2.715	
0.387085	0.027	2.72	
0.222995	0.027	2.725	
-0.00210372	0.027	2.73	
0.0589042	0.027	2.735	
0.18092	0.027	2.74	
0.075734	0.027	2.745	
-0.0778377	0.027	2.75	
0.0694228	0.027	2.755	
0.273484	0.027	2.76	
0.206165	0.027	2.765	
0.0252447	0.027	2.77	
0.122016	0.027	2.775	
0.269276	0.027	2.78	
0.176713	0.027	2.785	
-0.00631117	0.027	2.79	
0.0820452	0.027	2.795	
0.252447	0.027	2.8	
0.185128	0.028	2.805	
0.0483856	0.028	2.81	
0.170401	0.028	2.815	
0.281899	0.028	2.82	
0.111497	0.028	2.825	
-0.0736303	0.028	2.83	
0.0420744	0.028	2.835	
0.225098	0.028	2.84	
0.170401	0.028	2.845	
0.0462819	0.028	2.85	
0.189335	0.028	2.855	
0.328181	0.028	2.86	
0.187231	0.028	2.865	
0	0.028	2.87	
0.0673191	0.028	2.875	
0.189335	0.028	2.88	
0.117808	0.028	2.885	
0.0126223	0.028	2.89	
0.143053	0.028	2.895	
0.311351	0.028	2.9	
0.235617	0.029	2.905	
0.0988749	0.029	2.91	
0.195646	0.029	2.915	
0.28821	0.029	2.92	
0.0883563	0.029	2.925	
-0.075734	0.029	2.93	
0.0841489	0.029	2.935	
0.279795	0.029	2.94	
0.189335	0.029	2.945	
0.0589042	0.029	2.95	
0.159883	0.029	2.955	
0.267173	0.029	2.96	
0.113601	0.029	2.965	
-0.0568005	0.029	2.97	
0.0483856	0.029	2.975	
0.21458	0.029	2.98	
0.159883	0.029	2.985	
0.0294521	0.029	2.99	
0.174609	0.029	2.995	
0.317662	0.029	3	
0.199854	0.03	3.005	
0.0420744	0.03	3.01	
0.155675	0.03	3.015	
0.279795	0.03	3.02	
0.111497	0.03	3.025	
-0.0694228	0.03	3.03	
0.0925638	0.03	3.035	
0.260862	0.03	3.04	
0.138846	0.03	3.045	
-0.00631117	0.03	3.05	
0.0778377	0.03	3.055	
0.21458	0.03	3.06	
0.10729	0.03	3.065	
-0.0189335	0.03	3.07	
0.130431	0.03	3.075	
0.307143	0.03	3.08	
0.210372	0.03	3.085	
0.0736303	0.03	3.09	
0.178816	0.03	3.095	
0.275588	0.03	3.1	
0.128327	0.031	3.105	
-0.0231409	0.031	3.11	
0.145157	0.031	3.115	
0.309247	0.031	3.12	
0.132534	0.031	3.125	
-0.00841489	0.031	3.13	
0.138846	0.031	3.135	
0.290314	0.031	3.14	
0.138846	0.031	3.145	
-0.0126223	0.031	3.15	
0.100979	0.031	3.155	
0.235617	0.031	3.16	
0.0862526	0.031	3.165	
-0.0441782	0.031	3.17	
0.153572	0.031	3.175	
0.323973	0.031	3.18	
0.204061	0.031	3.185	
0.0483856	0.031	3.19	
0.140949	0.031	3.195	
0.256654	0.031	3.2	
0.0925638	0.032	3.205	
-0.0546968	0.032	3.21	
0.122016	0.032	3.215	
0.307143	0.032	3.22	
0.159883	0.032	3.225	
0.0231409	0.032	3.23	
0.166194	0.032	3.235	
0.298729	0.032	3.24	
0.111497	0.032	3.245	
-0.0631117	0.032	3.25	
0.0799414	0.032	3.255	
0.239824	0.032	3.26	
0.132534	0.032	3.265	
0.0189335	0.032	3.27	
0.191439	0.032	3.275	
0.359736	0.032	3.28	
0.231409	0.032	3.285	
0.0525931	0.032	3.29	
0.132534	0.032	3.295	
0.237721	0.032	3.3	
0.09046	0.033	3.305	
-0.0294521	0.033	3.31	
0.159883	0.033	3.315	
0.351322	0.033	3.32	
0.212476	0.033	3.325	
0.0568005	0.033	3.33	
0.174609	0.033	3.335	
0.277691	0.033	3.34	
0.0778377	0.033	3.345	
-0.111497	0.033	3.35	
0.0294521	0.033	3.355	
0.239824	0.033	3.36	
0.136742	0.033	3.365	
0.0399707	0.033	3.37	
0.191439	0.033	3.375	
0.359736	0.033	3.38	
0.19775	0.033	3.385	
0	0.033	3.39	
0.0778377	0.033	3.395	
0.206165	0.033	3.4	
0.109394	0.034	3.405	
0.0147261	0.034	3.41	
0.206165	0.034	3.415	
0.363944	0.034	3.42	
0.19775	0.034	3.425	
-0.0168298	0.034	3.43	
0.0736303	0.034	3.435	
0.21458	0.034	3.44	
0.0546968	0.034	3.445	
-0.0778377	0.034	3.45	
0.0883563	0.034	3.455	
0.284002	0.034	3.46	
0.212476	0.034	3.465	
0.0652154	0.034	3.47	
0.170401	0.034	3.475	
0.309247	0.034	3.48	
0.189335	0.034	3.485	
0.0105186	0.034	3.49	
0.113601	0.034	3.495	
0.275588	0.034	3.5	
0.168298	0.035	3.505	
0.0504893	0.035	3.51	
0.193542	0.035	3.515	
0.309247	0.035	3.52	
0.10729	0.035	3.525	
-0.0883563	0.035	3.53	
0.037867	0.035	3.535	
0.204061	0.035	3.54	
0.111497	0.035	3.545	
-0.00210372	0.035	3.55	
0.172505	0.035	3.555	
0.340803	0.035	3.56	
0.191439	0.035	3.565	
0.00420744	0.035	3.57	
0.09046	0.035	3.575	
0.262965	0.035	3.58	
0.16409	0.035	3.585	
0.0189335	0.035	3.59	
0.151468	0.035	3.595	
0.336596	0.035	3.6	
0.212476	0.036	3.605	
0.0399707	0.036	3.61	
0.132534	0.036	3.615	
0.260862	0.036	3.62	
0.0820452	0.036	3.625	
-0.0820452	0.036	3.63	
0.0631117	0.036	3.635	
0.260862	0.036	3.64	
0.161987	0.036	3.645	
0.0231409	0.036	3.65	
0.119912	0.036	3.655	
0.250343	0.036	3.66	
0.10729	0.036	3.665	
-0.0483856	0.036	3.67	
0.0925638	0.036	3.675	
0.262965	0.036	3.68	
0.187231	0.036	3.685	
0.0778377	0.036	3.69	
0.204061	0.036	3.695	
0.317662	0.036	3.7	
0.157779	0.037	3.705	
-0.00420744	0.037	3.71	
0.145157	0.037	3.715	
0.269276	0.037	3.72	
0.113601	0.037	3.725	
-0.0147261	0.037	3.73	
0.172505	0.037	3.735	
0.321869	0.037	3.74	
0.12412	0.037	3.745	
-0.0610079	0.037	3.75	
0.0694228	0.037	3.755	
0.246135	0.037	3.76	
0.115705	0.037	3.765	
-0.0126223	0.037	3.77	
0.174609	0.037	3.775	
0.382877	0.037	3.78	
0.244032	0.037	3.785	
0.0610079	0.037	3.79	
0.132534	0.037	3.795	
0.27138	0.037	3.8	
0.138846	0.038	3.805	
-0.0210372	0.038	3.81	
0.145157	0.038	3.815	
0.317662	0.038	3.82	
0.145157	0.038	3.825	
-0.0357633	0.038	3.83	
0.0883563	0.038	3.835	
0.248239	0.038	3.84	
0.100979	0.038	3.845	
-0.0483856	0.038	3.85	
0.122016	0.038	3.855	
0.317662	0.038	3.86	
0.195646	0.038	3.865	
0.0546968	0.038	3.87	
0.193542	0.038	3.875	
0.342907	0.038	3.88	
0.191439	0.038	3.885	
0.0105186	0.038	3.89	
0.10729	0.038	3.895	
0.260862	0.038	3.9	
0.149364	0.039	3.905	
0.00631117	0.039	3.91	
0.166194	0.039	3.915	
0.315558	0.039	3.92	
0.16409	0.039	3.925	
-0.0231409	0.039	3.93	
0.0862526	0.039	3.935	
0.244032	0.039	3.94	
0.130431	0.039	3.945	
-0.00631117	0.039	3.95	
0.143053	0.039	3.955	
0.298729	0.039	3.96	
0.191439	0.039	3.965	
0.0294521	0.039	3.97	
0.132534	0.039	3.975	
0.290314	0.039	3.98	
0.176713	0.039	3.985	
0	0.039	3.99	
0.111497	0.039	3.995	
0.256654	0.039	4	
0.166194	0.04	4.005	
0.037867	0.04	4.01	
0.16409	0.04	4.015	
0.290314	0.04	4.02	
0.143053	0.04	4.025	
-0.0252447	0.04	4.03	
0.075734	0.04	4.035	
0.19775	0.04	4.04	
0.075734	0.04	4.045	
-0.0504893	0.04	4.05	
0.119912	0.04	4.055	
0.294521	0.04	4.06	
0.185128	0.04	4.065	
0.075734	0.04	4.07	
0.18092	0.04	4.075	
0.279795	0.04	4.08	
0.143053	0.04	4.085	
-0.00210372	0.04	4.09	
0.10729	0.04	4.095	
0.222995	0.04	4.1	
0.109394	0.041	4.105	
0	0.041	4.11	
0.155675	0.041	4.115	
0.281899	0.041	4.12	
0.103082	0.041	4.125	
-0.0420744	0.041	4.13	
0.119912	0.041	4.135	
0.294521	0.041	4.14	
0.145157	0.041	4.145	
-0.00631117	0.041	4.15	
0.122016	0.041	4.155	
0.273484	0.041	4.16	
0.143053	0.041	4.165	
0.0252447	0.041	4.17	
0.153572	0.041	4.175	
0.284002	0.041	4.18	
0.153572	0.041	4.185	
0.00420744	0.041	4.19	
0.115705	0.041	4.195	
0.252447	0.041	4.2	
0.149364	0.042	4.205	
0.00841489	0.042	4.21	
0.174609	0.042	4.215	
0.313455	0.042	4.22	
0.111497	0.042	4.225	
-0.0420744	0.042	4.23	
0.105186	0.042	4.235	
0.27138	0.042	4.24	
0.117808	0.042	4.245	
-0.0294521	0.042	4.25	
0.128327	0.042	4.255	
0.286106	0.042	4.26	
0.119912	0.042	4.265	
-0.0694228	0.042	4.27	
0.0652154	0.042	4.275	
0.244032	0.042	4.28	
0.136742	0.042	4.285	
0.0105186	0.042	4.29	
0.151468	0.042	4.295	
0.319766	0.042	4.3	
