Time (s)	Load (gf)	Displacement (mm)
7,147	0	0,705
7,171	0	0,707
7,19	0	0,709
7,208	0	0,711
7,225	0	0,713
7,246	0	0,715
7,272	0	0,717
7,296	0	0,72
7,32	0	0,722
7,337	0	0,725
7,365	0	0,727
7,385	0	0,729
7,409	0	0,731
7,429	0	0,733
7,444	0	0,735
7,471	0	0,737
7,49	0	0,74
7,519	0	0,742
7,541	0	0,744
7,564	0	0,746
7,584	0	0,749
7,604	0	0,751
7,626	0	0,753
7,647	0	0,755
7,669	0	0,757
7,689	0	0,76
7,711	0	0,761
7,729	0	0,763
7,745	0	0,765
7,771	0	0,767
7,789	0	0,769
7,812	0	0,772
7,836	0	0,774
7,861	0	0,776
7,879	0	0,778
7,898	0	0,78
7,918	0	0,782
7,94	0	0,784
7,959	0	0,786
7,977	0	0,788
7,992	0	0,79
8,021	0	0,792
8,045	0	0,795
8,067	0	0,797
8,087	0	0,798
8,104	0	0,801
8,128	0	0,803
8,149	0	0,805
8,17	0	0,807
8,19	0	0,809
8,207	0	0,811
8,227	0	0,813
8,248	0	0,816
8,277	0	0,818
8,299	0	0,82
8,323	0	0,822
8,34	0	0,825
8,369	0	0,827
8,391	0	0,829
8,412	0	0,832
8,438	0	0,834
8,461	0	0,836
8,482	0	0,838
8,502	0	0,84
8,516	0	0,842
8,542	0	0,845
8,566	0	0,847
8,592	0	0,85
8,615	0	0,851
8,634	0	0,854
8,654	0	0,856
8,677	0	0,858
8,701	0	0,86
8,722	0	0,862
8,738	0	0,865
8,769	0	0,867
8,79	0	0,87
8,816	0	0,872
8,837	0	0,874
8,859	0	0,876
8,88	0	0,878
8,9	0	0,88
8,921	0	0,882
8,939	0	0,884
8,961	0	0,886
8,979	0	0,888
8,996	0	0,889
9,009	0	0,89
9,024	0	0,893
9,053	0	0,896
9,073	0	0,897
9,092	0	0,9
9,12	0	0,902
9,141	0	0,904
9,161	0	0,906
9,182	0	0,908
9,203	0	0,91
9,224	0	0,912
9,245	0	0,914
9,266	0	0,917
9,287	0	0,919
9,311	0	0,922
9,338	0	0,924
9,361	0	0,926
9,382	0	0,928
9,402	0	0,93
9,422	0	0,932
9,442	0	0,934
9,463	0	0,936
9,486	0	0,938
9,508	0	0,94
9,524	0	0,942
9,538	0	0,944
9,562	0	0,946
9,585	0	0,948
9,605	0	0,951
9,628	0	0,953
9,649	0	0,955
9,669	0	0,957
9,691	0	0,958
9,706	0	0,96
9,728	0	0,962
9,748	0	0,965
9,777	0	0,968
9,804	0	0,97
9,823	0	0,972
9,85	0	0,974
9,868	0	0,976
9,888	0	0,978
9,908	0	0,98
9,924	0	0,982
9,95	0	0,984
9,968	0	0,986
9,989	0	0,989
10,008	0	0,992
10,042	0	0,994
10,067	0	0,997
10,091	0	1
10,116	0	1,002
10,137	0	1,004
10,157	0	1,006
10,178	0	1,008
10,197	0	1,01
10,216	0	1,012
10,236	0	1,013
10,256	0	1,015
10,271	0	1,017
10,3	0	1,02
10,324	0	1,022
10,347	0	1,025
10,372	0	1,027
10,391	0	1,029
10,413	0	1,031
10,432	0	1,033
10,453	0	1,035
10,473	0	1,037
10,487	0	1,039
10,514	0	1,042
10,537	0	1,044
10,558	0	1,046
10,584	0	1,048
10,602	0	1,051
10,628	0	1,054
10,655	0	1,056
10,677	0	1,058
10,696	0	1,06
10,717	0	1,062
10,737	0	1,064
10,758	0	1,066
10,773	0	1,068
10,798	0	1,07
10,824	0	1,073
10,849	0	1,075
10,869	0	1,077
10,886	0	1,079
10,907	0	1,081
10,929	0	1,083
10,95	0	1,085
10,969	0	1,087
10,986	0	1,089
11,016	0	1,092
11,04	0	1,094
11,063	0	1,096
11,085	0	1,098
11,105	0	1,101
11,128	0	1,103
11,147	0	1,105
11,17	0	1,107
11,191	0	1,109
11,21	0	1,111
11,232	0	1,113
11,253	0	1,115
11,273	0	1,117
11,286	0	1,119
11,309	0	1,122
11,334	0	1,124
11,358	0	1,126
11,379	0	1,128
11,399	0	1,13
11,42	0	1,132
11,44	0	1,134
11,462	0	1,136
11,484	0	1,139
11,506	0	1,14
11,524	0	1,144
11,552	0	1,146
11,582	0	1,148
11,603	0	1,151
11,631	0	1,153
11,653	0	1,155
11,672	0	1,157
11,69	0	1,159
11,708	0	1,16
11,722	0	1,163
11,748	0	1,165
11,772	0	1,168
11,794	0	1,17
11,824	0	1,173
11,847	0	1,174
11,863	0	1,177
11,886	0	1,179
11,905	0	1,181
11,925	0	1,183
11,947	0	1,185
11,97	0	1,187
11,997	0	1,19
12,019	0	1,192
12,039	0	1,195
12,063	0	1,196
12,082	0	1,199
12,104	0	1,201
12,126	0	1,203
12,145	0	1,204
12,164	0	1,206
12,184	0	1,209
12,206	0	1,211
12,227	0	1,213
12,246	0	1,214
12,263	0	1,216
12,281	0	1,218
12,298	0	1,22
12,322	0	1,223
12,346	0	1,225
12,369	0	1,227
12,389	0	1,229
12,409	0	1,232
12,431	0	1,233
12,451	0	1,236
12,473	0	1,237
12,502	0	1,24
12,529	0	1,243
12,551	0	1,244
12,569	0	1,247
12,591	0	1,249
12,609	0	1,251
12,629	0	1,254
12,655	0	1,256
12,679	0	1,258
12,699	0	1,26
12,722	0	1,262
12,743	0	1,264
12,763	0	1,266
12,866	0	1,277
12,884	0	1,279
12,906	0	1,281
12,927	0	1,283
12,947	0	1,285
12,967	0	1,287
12,992	0	1,289
13,011	0	1,291
13,033	0	1,294
13,06	0	1,296
13,082	0	1,298
13,102	0	1,301
13,127	0	1,303
13,147	0	1,305
13,166	0	1,307
13,187	0	1,308
13,204	0	1,31
13,224	0	1,312
13,245	0	1,314
13,263	0	1,316
13,281	0	1,318
13,3	0	1,321
13,334	0	1,324
13,357	0	1,326
13,378	0	1,328
13,398	0	1,33
13,421	0	1,332
13,443	0	1,334
13,461	0	1,336
13,479	0	1,338
13,496	0	1,34
13,521	0	1,342
13,54	0	1,344
13,56	0	1,346
13,587	0	1,349
13,614	0	1,35
13,633	0	1,353
13,653	0	1,356
13,684	0	1,358
13,701	0	1,36
13,719	0	1,361
13,734	0	1,363
13,753	2	1,366
13,777	0	1,368
13,802	0	1,371
13,828	0	1,373
13,85	0	1,374
13,869	0	1,377
13,89	0	1,379
13,912	0	1,381
13,931	0	1,384
13,961	0	1,386
13,983	0	1,388
14,003	0	1,39
14,018	0	1,392
14,043	0	1,395
14,068	0	1,397
14,089	0	1,399
14,108	0	1,4
14,128	0	1,402
14,148	0	1,405
14,174	0	1,408
14,2	0	1,41
14,218	0	1,412
14,243	0	1,414
14,263	0	1,416
14,281	0	1,417
14,296	0	1,419
14,312	0	1,422
14,342	0	1,424
14,363	0	1,426
14,383	0	1,428
14,403	2	1,43
14,424	2	1,432
14,444	2	1,434
14,463	0	1,436
14,481	0	1,438
14,499	0	1,439
14,514	0	1,441
14,535	0	1,444
14,563	0	1,446
14,585	0	1,448
14,607	0	1,451
14,64	0	1,453
14,659	0	1,456
14,681	0	1,458
14,699	0	1,46
14,72	0	1,462
14,743	0	1,464
14,765	0	1,466
14,787	0	1,468
14,802	0	1,471
14,832	0	1,473
14,856	2	1,475
14,876	0	1,477
14,896	0	1,479
14,915	0	1,481
14,935	0	1,484
14,955	0	1,485
14,975	0	1,487
14,998	0	1,489
15,015	0	1,491
15,033	0	1,493
15,054	2	1,496
15,082	0	1,499
15,109	0	1,501
15,134	2	1,503
15,152	2	1,506
15,183	0	1,508
15,202	0	1,51
15,226	0	1,512
15,246	0	1,514
15,266	0	1,516
15,293	0	1,519
15,315	0	1,521
15,333	0	1,523
15,359	0	1,526
15,384	0	1,528
15,399	0	1,53
15,424	0	1,532
15,448	0	1,535
15,472	0	1,537
15,493	0	1,539
15,513	0	1,54
15,529	0	1,543
15,557	0	1,546
15,587	0	1,548
15,608	0	1,551
15,634	0	1,553
15,655	0	1,555
15,675	0	1,557
15,696	0	1,559
15,714	0	1,561
15,737	0	1,564
15,757	0	1,565
15,777	0	1,567
15,795	0	1,569
15,817	0	1,572
15,852	0	1,574
15,871	0	1,576
15,889	2	1,578
15,903	2	1,58
15,922	0	1,582
15,942	0	1,584
15,962	0	1,586
15,982	0	1,587
15,998	0	1,589
16,017	2	1,591
16,037	0	1,594
16,059	2	1,596
16,085	0	1,598
16,106	0	1,6
16,13	0	1,602
16,146	0	1,604
16,17	0	1,607
16,193	0	1,609
16,214	2	1,611
16,235	0	1,613
16,253	0	1,615
16,273	0	1,617
16,294	0	1,619
16,31	0	1,621
16,342	0	1,623
16,364	0	1,626
16,383	0	1,627
16,4	0	1,63
16,428	0	1,632
16,445	0	1,633
16,459	0	1,635
16,478	0	1,637
16,5	0	1,64
16,526	0	1,643
16,554	0	1,644
16,57	0	1,647
16,594	2	1,648
16,609	2	1,65
16,632	0	1,653
16,654	0	1,655
16,676	0	1,657
16,697	2	1,659
16,716	0	1,661
16,736	0	1,663
16,763	0	1,666
16,788	2	1,668
16,802	2	1,669
16,822	2	1,672
16,846	0	1,674
16,864	0	1,677
16,892	2	1,678
16,911	0	1,68
16,928	0	1,682
16,946	2	1,685
16,973	0	1,687
16,993	0	1,69
17,022	0	1,692
17,049	0	1,694
17,072	0	1,696
17,091	0	1,699
17,113	0	1,701
17,133	0	1,703
17,165	2	1,706
17,188	2	1,708
17,206	2	1,71
17,227	0	1,712
17,255	2	1,715
17,277	2	1,717
17,299	0	1,719
17,321	0	1,721
17,336	0	1,723
17,359	0	1,726
17,383	0	1,728
17,404	2	1,731
17,431	0	1,733
17,452	0	1,735
17,476	0	1,737
17,507	2	1,74
17,525	0	1,742
17,548	0	1,744
17,568	0	1,746
17,589	0	1,748
17,61	2	1,751
17,644	2	1,754
17,67	0	1,756
17,691	0	1,758
17,711	0	1,76
17,739	2	1,763
17,759	0	1,765
17,78	0	1,768
17,803	2	1,769
17,822	2	1,781
17,94	0	1,783
17,956	0	1,786
17,981	0	1,787
17,998	0	1,789
18,014	2	1,791
18,04	2	1,793
18,058	0	1,796
18,083	0	1,797
18,099	2	1,8
18,123	0	1,802
18,152	2	1,804
18,172	2	1,807
18,197	2	1,809
18,218	2	1,811
18,238	0	1,813
18,254	2	1,815
18,278	2	1,817
18,304	0	1,82
18,326	0	1,822
18,353	0	1,824
18,372	2	1,827
18,399	0	1,829
18,417	0	1,83
18,434	0	1,833
18,462	2	1,835
18,48	2	1,837
18,497	2	1,839
18,519	2	1,842
18,552	2	1,844
18,572	0	1,846
18,593	2	1,848
18,612	2	1,85
18,627	2	1,852
18,65	2	1,854
18,672	2	1,856
18,694	2	1,859
18,717	2	1,861
18,736	2	1,863
18,756	2	1,864
18,772	2	1,866
18,79	2	1,869
18,816	2	1,871
18,839	2	1,874
18,867	2	1,876
18,891	2	1,878
18,914	2	1,881
18,936	2	1,883
18,957	2	1,885
18,977	2	1,887
18,998	2	1,889
19,014	2	1,89
19,028	2	1,892
19,047	2	1,894
19,069	2	1,896
19,084	2	1,897
19,102	2	1,9
19,126	2	1,901
19,147	2	1,904
19,17	0	1,906
19,19	0	1,908
19,213	0	1,91
19,234	2	1,912
19,253	2	1,914
19,27	2	1,916
19,285	2	1,918
19,304	2	1,92
19,333	2	1,923
19,356	2	1,925
19,378	2	1,927
19,396	2	1,928
19,413	2	1,931
19,439	2	1,933
19,462	2	1,935
19,483	2	1,937
19,506	2	1,94
19,526	2	1,942
19,553	2	1,944
19,568	2	1,946
19,603	2	1,95
19,63	2	1,952
19,653	2	1,955
19,678	2	1,956
19,698	2	1,959
19,72	2	1,961
19,741	2	1,963
19,762	2	1,964
19,777	2	1,966
19,795	2	1,968
19,816	2	1,97
19,84	2	1,973
19,863	2	1,975
19,885	2	1,977
19,901	2	1,979
19,918	2	1,982
19,952	2	1,984
19,975	2	1,986
19,995	2	1,988
20,013	2	1,99
20,034	2	1,992
20,052	2	1,994
20,068	0	1,997
20,098	0	1,999
20,126	2	2,002
20,148	2	2,004
20,174	2	2,006
20,191	2	2,008
20,215	2	2,011
20,241	2	2,013
20,26	2	2,014
20,278	2	2,016
20,298	2	2,018
20,319	2	2,02
20,336	2	2,022
20,351	2	2,024
20,376	2	2,026
20,401	2	2,029
20,423	2	2,031
20,443	2	2,033
20,463	2	2,035
20,484	2	2,037
20,505	2	2,039
20,526	2	2,041
20,546	2	2,043
20,566	2	2,046
20,594	2	2,048
20,613	2	2,05
20,637	2	2,052
20,659	2	2,055
20,683	0	2,057
20,704	0	2,059
20,725	2	2,061
20,745	2	2,064
20,769	2	2,066
20,791	2	2,068
20,814	2	2,07
20,832	2	2,071
20,845	2	2,073
20,87	2	2,076
20,892	2	2,078
20,919	2	2,081
20,944	2	2,083
20,966	2	2,085
20,986	2	2,087
21,006	2	2,089
21,028	2	2,092
21,048	2	2,093
21,066	2	2,096
21,092	2	2,098
21,112	2	2,1
21,14	2	2,103
21,164	2	2,105
21,185	2	2,107
21,207	2	2,11
21,231	2	2,112
21,253	2	2,114
21,271	2	2,115
21,283	2	2,117
21,31	2	2,12
21,335	2	2,122
21,355	2	2,124
21,377	2	2,126
21,395	2	2,128
21,41	2	2,13
21,441	2	2,133
21,462	2	2,135
21,483	2	2,137
21,503	2	2,139
21,524	2	2,141
21,544	2	2,142
21,559	2	2,144
21,576	2	2,147
21,611	2	2,15
21,634	2	2,152
21,656	2	2,154
21,678	2	2,156
21,7	2	2,159
21,723	2	2,161
21,745	2	2,163
21,766	2	2,165
21,786	2	2,167
21,804	2	2,169
21,822	2	2,17
21,841	2	2,173
21,869	2	2,176
21,894	2	2,178
21,912	2	2,18
21,936	2	2,182
21,96	2	2,184
21,982	2	2,187
22,004	2	2,189
22,024	2	2,191
22,044	2	2,192
22,059	2	2,194
22,084	2	2,197
22,106	2	2,2
22,13	2	2,201
22,15	2	2,204
22,172	2	2,206
22,193	2	2,208
22,214	2	2,21
22,238	2	2,212
22,261	2	2,215
22,28	2	2,217
22,303	2	2,219
22,321	2	2,221
22,34	2	2,222
22,356	2	2,226
22,389	2	2,228
22,411	2	2,231
22,44	2	2,233
22,462	2	2,234
22,476	2	2,236
22,496	2	2,239
22,524	2	2,241
22,553	2	2,244
22,573	2	2,246
22,595	2	2,248
22,616	2	2,251
22,642	2	2,253
22,667	2	2,256
22,688	2	2,258
22,709	2	2,26
22,731	2	2,262
22,753	2	2,264
22,773	2	2,266
22,794	2	2,268
22,813	2	2,27
22,831	2	2,271
22,846	2	2,274
22,871	2	2,276
22,898	2	2,278
22,916	2	2,28
22,941	2	2,283
22,965	2	2,285
22,982	2	2,287
23,003	2	2,289
23,025	2	2,291
23,046	2	2,293
23,065	2	2,295
23,089	2	2,297
23,108	2	2,3
23,131	2	2,302
23,155	4	2,304
23,185	2	2,306
23,198	2	2,314
23,283	2	2,316
23,299	2	2,318
23,322	2	2,321
23,344	2	2,322
23,361	2	2,324
23,38	2	2,327
23,405	2	2,329
23,426	2	2,332
23,459	2	2,334
23,484	2	2,337
23,505	2	2,339
23,525	2	2,341
23,546	2	2,342
23,558	2	2,344
23,576	2	2,346
23,597	2	2,348
23,622	2	2,351
23,65	4	2,353
23,67	4	2,356
23,69	4	2,357
23,711	4	2,361
23,743	4	2,363
23,768	2	2,365
23,79	2	2,368
23,811	2	2,37
23,831	4	2,371
23,846	4	2,373
23,871	4	2,376
23,89	4	2,377
23,91	4	2,38
23,938	4	2,382
23,96	4	2,384
23,977	4	2,386
23,996	4	2,388
24,014	4	2,39
24,027	4	2,391
24,042	4	2,393
24,063	4	2,395
24,088	4	2,397
24,101	4	2,399
24,125	4	2,401
24,147	4	2,404
24,174	4	2,406
24,195	4	2,408
24,218	2	2,41
24,239	2	2,412
24,258	4	2,414
24,277	4	2,416
24,297	4	2,418
24,31	2	2,42
24,33	2	2,422
24,351	4	2,424
24,371	4	2,426
24,399	4	2,428
24,419	4	2,431
24,445	4	2,432
24,464	4	2,435
24,489	4	2,438
24,513	2	2,44
24,533	4	2,442
24,554	4	2,444
24,572	2	2,446
24,596	2	2,448
24,62	2	2,451
24,642	4	2,453
24,661	4	2,456
24,693	4	2,457
24,707	2	2,459
24,723	2	2,461
24,75	4	2,464
24,771	4	2,466
24,794	4	2,468
24,814	2	2,47
24,838	2	2,472
24,851	4	2,474
24,877	4	2,477
24,911	4	2,48
24,935	4	2,482
24,96	4	2,484
24,973	2	2,486
24,994	2	2,488
25,015	2	2,49
25,036	4	2,492
25,055	4	2,494
25,073	4	2,495
25,086	4	2,496
25,103	4	2,5
25,127	4	2,501
25,149	4	2,504
25,174	4	2,506
25,195	4	2,508
25,215	4	2,51
25,235	4	2,512
25,258	4	2,515
25,28	2	2,516
25,297	2	2,518
25,312	4	2,52
25,332	4	2,522
25,353	4	2,524
25,378	4	2,527
25,405	4	2,529
25,428	4	2,531
25,442	4	2,532
25,463	4	2,535
25,484	4	2,537
25,504	4	2,539
25,521	4	2,54
25,541	4	2,543
25,566	4	2,545
25,591	2	2,548
25,613	4	2,55
25,631	4	2,553
25,66	4	2,555
25,678	4	2,556
25,697	4	2,558
25,716	4	2,56
25,739	4	2,563
25,761	4	2,565
25,783	4	2,567
25,802	4	2,568
25,82	4	2,571
25,844	4	2,574
25,873	4	2,576
25,896	4	2,578
25,916	4	2,58
25,932	4	2,582
25,955	4	2,584
25,976	4	2,586
25,998	4	2,589
26,018	4	2,591
26,041	4	2,593
26,062	4	2,595
26,084	4	2,597
26,099	4	2,598
26,116	4	2,6
26,135	4	2,603
26,167	4	2,606
26,189	4	2,608
26,209	4	2,61
26,228	4	2,612
26,25	4	2,614
26,274	4	2,616
